REAL	TEST	0	0
0	0	-1	-1	
2	0	0	-2	
0	2	-1	-1	
2	2	0	0	
0	2	-1	1	
2	2	0	2	
0	0	-1	1	
0	0	-2	0	
4	0	-2	-1	
0	2	-3	0	
2	-1	-2	0	
0	2	-3	1	
4	2	-3	2	
0	2	-4	3	
2	2	-3	4	
0	2	-4	5	
2	2	-3	6	
0	0	-4	5	
2	0	-3	4	
0	0	-4	3	
2	2	-3	4	
0	2	-4	5	
2	2	-3	6	
0	2	-4	7	
2	2	-3	8	
0	-1	-4	8	
0	2	-5	9	
0	0	-6	8	
0	2	-7	9	
0	2	-8	10	
0	2	-9	11	
0	2	-10	12	
0	2	-11	13	
0	2	-12	14	
2	2	-11	15	
2	2	-10	16	
0	2	-11	17	
2	2	-10	18	
2	2	-9	19	
2	0	-8	18	
0	0	-9	17	
2	0	-8	16	
0	0	-9	15	
0	0	-10	14	
0	0	-11	13	
4	2	-11	14	
0	2	-12	15	
0	2	-13	16	
2	2	-12	17	
0	2	-13	18	
0	-1	-14	18	
2	2	-13	19	
2	2	-12	20	
2	0	-11	19	
0	2	-12	20	
0	0	-13	19	
2	0	-12	18	
0	2	-13	19	
0	2	-14	20	
2	2	-13	21	
0	2	-14	22	
2	2	-13	23	
2	2	-12	24	
2	2	-11	25	
0	0	-12	24	
0	0	-13	23	
2	0	-12	22	
2	0	-11	21	
0	2	-12	22	
0	2	-13	23	
0	0	-14	22	
2	0	-13	21	
0	2	-14	22	
0	2	-15	23	
0	2	-16	24	
0	2	-17	25	
0	2	-18	26	
0	2	-19	27	
2	2	-18	28	
0	2	-19	29	
2	2	-18	30	
2	2	-17	31	
2	2	-16	32	
2	0	-15	31	
0	0	-16	30	
2	0	-15	29	
2	0	-14	28	
2	0	-13	27	
0	0	-14	26	
2	0	-13	25	
0	0	-14	24	
0	0	-15	23	
2	0	-14	22	
0	2	-15	23	
2	2	-14	24	
0	2	-15	25	
2	0	-14	24	
0	0	-15	23	
2	2	-14	24	
0	0	-15	23	
0	2	-16	24	
2	2	-15	25	
0	2	-16	26	
0	2	-17	27	
2	2	-16	28	
0	2	-17	29	
0	2	-18	30	
2	2	-17	31	
2	2	-16	32	
2	2	-15	33	
2	2	-14	34	
0	2	-15	35	
0	0	-16	34	
2	0	-15	33	
2	-1	-14	33	
0	2	-15	34	
2	0	-14	33	
0	-1	-15	33	
2	0	-14	32	
2	2	-13	33	
2	2	-12	34	
4	0	-12	33	
0	0	-13	32	
0	0	-14	31	
0	0	-15	30	
0	2	-16	31	
0	2	-17	32	
2	2	-16	33	
0	2	-17	34	
2	2	-16	35	
2	2	-15	36	
2	0	-14	35	
2	0	-13	34	
0	0	-14	33	
2	0	-13	32	
0	0	-14	31	
2	0	-13	30	
0	0	-14	29	
0	2	-15	30	
0	0	-16	29	
2	2	-15	30	
2	2	-14	31	
0	2	-15	32	
0	2	-16	33	
2	2	-15	34	
2	2	-14	35	
2	2	-13	36	
2	2	-12	37	
2	2	-11	38	
2	0	-10	37	
2	0	-9	36	
0	0	-10	35	
2	0	-9	34	
2	0	-8	33	
2	0	-7	32	
0	0	-8	31	
0	0	-9	30	
2	0	-8	29	
0	0	-9	28	
2	2	-8	29	
2	2	-7	30	
2	2	-6	31	
0	-1	-7	31	
2	-1	-6	31	
2	0	-5	30	
0	0	-6	29	
0	0	-7	28	
2	2	-6	29	
0	2	-7	30	
4	2	-7	31	
0	2	-8	32	
2	2	-7	33	
0	2	-8	34	
2	2	-7	35	
2	0	-6	34	
2	0	-5	33	
2	0	-4	32	
2	0	-3	31	
0	0	-4	30	
2	0	-3	29	
2	0	-2	28	
0	0	-3	27	
2	0	-2	26	
0	0	-3	25	
2	0	-2	24	
0	0	-3	23	
2	0	-2	22	
2	0	-1	21	
2	0	0	20	
2	0	1	19	
2	0	2	18	
2	0	3	17	
2	0	4	16	
2	0	5	15	
0	0	4	14	
2	0	5	13	
2	0	6	12	
2	0	7	11	
2	-1	8	11	
2	-1	9	11	
2	0	10	10	
0	0	9	9	
0	0	8	8	
0	0	7	7	
2	0	8	6	
0	2	7	7	
0	2	6	8	
0	2	5	9	
2	2	6	10	
0	2	5	11	
2	2	6	12	
2	2	7	13	
2	2	8	14	
0	2	7	15	
2	2	8	16	
0	0	7	15	
0	0	6	14	
0	0	5	13	
2	2	6	14	
0	2	5	15	
0	2	4	16	
2	2	5	17	
2	2	6	18	
0	2	5	19	
0	-1	4	19	
0	0	3	18	
2	0	4	17	
0	2	3	18	
0	2	2	19	
2	2	3	20	
0	2	2	21	
0	2	1	22	
0	0	0	21	
2	2	1	22	
2	2	2	23	
2	2	3	24	
2	2	4	25	
4	0	4	24	
0	0	3	23	
2	0	4	22	
0	0	3	21	
2	0	4	20	
0	0	3	19	
2	0	4	18	
0	0	3	17	
0	0	2	16	
0	0	1	15	
0	2	0	16	
2	2	1	17	
2	2	2	18	
0	2	1	19	
2	2	2	20	
0	2	1	21	
2	0	2	20	
2	0	3	19	
2	2	4	20	
2	0	5	19	
2	0	6	18	
0	0	5	17	
2	0	6	16	
2	0	7	15	
2	0	8	14	
0	0	7	13	
0	0	6	12	
0	0	5	11	
0	0	4	10	
2	2	5	11	
2	2	6	12	
2	2	7	13	
4	2	7	14	
